Sample_name	date_collect	extract_date	extract_weight	DNA_conc	A260	260/230	260/280	DNA_conc_clean	A260_clean	260/230_clean	260/280_clean	Brix_field	time	site	upper_political	lower_political	plant_body_site	scion	rootstock	depth	elev	trellis_system	vine_spacing	orientation	estab_year	host_age	host_common_name	host_virus_stat	host height	host_life_stage	host_taxid	samp_store_loc	samp_store_temp	fertilizer_regm	fungicide_regm	insecticide_regm	herbicide_regm
CL01RT	7232019	3152021	0.373	84.41	1.6882	1.31	1.8	55.898	1.118	1.97	1.85	13.9	10:21	liberty	california	san joaquin	root	chardonnay	Teleki 5C	15	15	Two-wire vertical 	7x10	N/S	1994	24 years	grapevine	GLRaV-3	3m	mature vine	29760	DDPSC freezer	-20C	Che-Plex	Topsin, Vivando, Pristine, Dusting sulfur, Vangard, Quintec, Torino, Rally, Elevate, Acoidal	Abacus, Altacor, Movento	Roundup
CL02RT	7232018	2232021	0.351	86.663	1.7333	1.71	1.81	42.775	0.8555	1.89	1.88	17.7	11:18	liberty	california	san joaquin	root	chardonnay	Kober 5BB	15	15	Two-wire vertical 	7x10	N/S	1994	24 years	grapevine	NA	3m	mature vine	29760	DDPSC freezer	-20C	Che-Plex	Topsin, Vivando, Pristine, Dusting sulfur, Vangard, Quintec, Torino, Rally, Elevate, Acoidal	Abacus, Altacor, Movento	Roundup
CL03RT	7232018	3152021	0.366	20.906	1.0181	0.33	1.7	52.972	1.0594	1.96	1.81	9.6	11:22	liberty	california	san joaquin	root	chardonnay	775 Paulsen	15	15	Two-wire vertical 	7x10	N/S	1994	24 years	grapevine	GLRaV-3	3m	mature vine	29760	DDPSC freezer	-20C	Che-Plex	Topsin, Vivando, Pristine, Dusting sulfur, Vangard, Quintec, Torino, Rally, Elevate, Acoidal	Abacus, Altacor, Movento	Roundup
CL04RT	7232018	3092021	0.355	34.029	0.6806	0.6	1.81	20.075	0.4015	1.66	1.85	15	11:26	liberty	california	san joaquin	root	chardonnay	775 Paulsen	15	15	Two-wire vertical 	7x10	N/S	1994	24 years	grapevine	GLRaV-3	3m	mature vine	29760	DDPSC freezer	-20C	Che-Plex	Topsin, Vivando, Pristine, Dusting sulfur, Vangard, Quintec, Torino, Rally, Elevate, Acoidal	Abacus, Altacor, Movento	Roundup
CL06RT	7232018	3152021	0.334	41.389	0.8278	0.4	1.69	44.095	0.974	2.16	1.84	11	11:34	liberty	california	san joaquin	root	chardonnay	101-14 MGT	15	15	Two-wire vertical 	7x10	N/S	1994	24 years	grapevine	GLRaV-3	3m	mature vine	29760	DDPSC freezer	-20C	Che-Plex	Topsin, Vivando, Pristine, Dusting sulfur, Vangard, Quintec, Torino, Rally, Elevate, Acoidal	Abacus, Altacor, Movento	Roundup
CL08RT	7232018	3092021	0.35	27.734	0.5544	0.13	1.86	16.775	0.3355	1.6	1.88	6.1	11:43	liberty	california	san joaquin	root	chardonnay	140Ru	15	15	Two-wire vertical 	7x10	N/S	1994	24 years	grapevine	GLRaV-3, GRBV	3m	mature vine	29760	DDPSC freezer	-20C	Che-Plex	Topsin, Vivando, Pristine, Dusting sulfur, Vangard, Quintec, Torino, Rally, Elevate, Acoidal	Abacus, Altacor, Movento	Roundup
CL09RT	7232018	2252021	0.358	84.715	1.6943	1.47	1.87	39.897	0.7979	1.87	1.88	14.4	11:48	liberty	california	san joaquin	root	chardonnay	110 Richter	15	15	Two-wire vertical 	7x10	N/S	1994	24 years	grapevine	GLRaV-3, GRBV	3m	mature vine	29760	DDPSC freezer	-20C	Che-Plex	Topsin, Vivando, Pristine, Dusting sulfur, Vangard, Quintec, Torino, Rally, Elevate, Acoidal	Abacus, Altacor, Movento	Roundup
CL10RT	7232018	2252021	0.329	83.682	1.6736	1.37	1.85	39.549	0.791	1.85	1.93	10.1	11:53	liberty	california	san joaquin	root	chardonnay	3309 Couderc	15	15	Two-wire vertical 	7x10	N/S	1994	24 years	grapevine	GLRaV-3	3m	mature vine	29760	DDPSC freezer	-20C	Che-Plex	Topsin, Vivando, Pristine, Dusting sulfur, Vangard, Quintec, Torino, Rally, Elevate, Acoidal	Abacus, Altacor, Movento	Roundup
CL11RT	7232018	3152021	0.365	55.45	1.109	0.91	1.68	68.179	1.3636	2.11	1.87	4.4	11:57	liberty	california	san joaquin	root	chardonnay	1103 Paulsen	15	15	Two-wire vertical 	7x10	N/S	1994	24 years	grapevine	GLRaV-3	3m	mature vine	29760	DDPSC freezer	-20C	Che-Plex	Topsin, Vivando, Pristine, Dusting sulfur, Vangard, Quintec, Torino, Rally, Elevate, Acoidal	Abacus, Altacor, Movento	Roundup
CL13RT	7232018	2252021	0.357	85.041	1.7008	0.89	1.86	48.672	0.9734	1.91	1.87	16.7	12:06	liberty	california	san joaquin	root	chardonnay	101-14 MGT	15	15	Two-wire vertical 	7x10	N/S	1994	24 years	grapevine	NA	3m	mature vine	29760	DDPSC freezer	-20C	Che-Plex	Topsin, Vivando, Pristine, Dusting sulfur, Vangard, Quintec, Torino, Rally, Elevate, Acoidal	Abacus, Altacor, Movento	Roundup
