CL01RT_Abundance	CL01RT
CL02RT_Abundance	CL02RT
CL03RT_Abundance	CL03RT
CL04RT_Abundance	CL04RT
CL06RT_Abundance	CL06RT
CL08RT_N_Abundance	CL08RT
CL09RT_Abundance	CL09RT
CL10RT_Abundance	CL10RT
CL11RT_Abundance	CL11RT
CL13RT_Abundance	CL13RT
CL14RT_Abundance	CL14RT
CL15RT_Abundance	CL15RT
CL16RT_Abundance	CL16RT
CL18RT_Abundance	CL18RT
CL19RT_Abundance	CL19RT
CL20RT_Abundance	CL20RT
CL22RT_Abundance	CL22RT
CL23RT_N_Abundance	CL23RT
CL24RT_Abundance	CL24RT
CL25RT_Abundance	CL25RT
CL26RT_Abundance	CL26RT
CL27RT_N_Abundance	CL27RT
CL28RT_N_Abundance	CL28RT
CL29RT_Abundance	CL29RT
CL30RT_Abundance	CL30RT
CL33RT_Abundance	CL33RT
CL35RT_Abundance	CL35RT
CL36RT_Abundance	CL36RT
CL38RT_Abundance	CL38RT
CL39RT_Abundance	CL39RT
CL40RT_Abundance	CL40RT
CL41RT_Abundance	CL41RT
CL42RT_Abundance	CL42RT
CL44RT_Abundance	CL44RT
CL45RT_Abundance	CL45RT
CL46RT_Abundance	CL46RT
CL47RT_Abundance	CL47RT
CL49RT_Abundance	CL49RT
CL50RT_Abundance	CL50RT
CL52RT_Abundance	CL52RT
CL53RT_Abundance	CL53RT
CL55RT_Abundance	CL55RT
CL56RT_Abundance	CL56RT
CL57RT_Abundance	CL57RT
CL58RT_Abundance	CL58RT
CL59RT_Abundance	CL59RT
CL60RT_Abundance	CL60RT
CL61RT_Abundance	CL61RT
CL62RT_Abundance	CL62RT
CL63RT_Abundance	CL63RT
CL64RT_Abundance	CL64RT
CL65RT_Abundance	CL65RT
CL67RT_Abundance	CL67RT
CL68RT_Abundance	CL68RT
CL69RT_Abundance	CL69RT
CL72RT_Abundance	CL72RT
CL74RT_Abundance	CL74RT
CL76RT_Abundance	CL76RT
CL77RT_Abundance	CL77RT
CL78RT_Abundance	CL78RT
